Mês,Temperatura Mínima
1,10.27
2,10.55
3,6.20
4,9.36
5,8.33
6,13.08
7,12.88
8,14.16
9,16.84
10,16.21
11,15.86
12,11.02
13,7.15
14,8.79
15,8.71
16,7.50
17,8.63
18,13.03
19,13.37
20,16.54
21,16.43
22,16.19
23,16.62
24,14.34
25,8.13
26,7.15
27,4.71
28,7.22
29,11.69
30,13.30
31,12.53
32,15.74
33,15.37
34,15.23
35,14.55
36,10.91
37,7.50
38,5.89
39,8.62
40,9.80
41,7.75
42,11.97
43,13.42
44,13.94
45,14.48
46,16.52
47,15.88
48,12.73
49,9.50
50,5.59
51,5.44
52,8.05
53,10.30
54,11.68
55,16.77
56,16.30
57,17.40
58,17.83
59,15.10
60,12.47
61,9.00
62,7.31
63,7.24
64,7.00
65,10.64
66,10.20
67,12.38
68,14.97
69,17.65
70,17.65
71,14.39
72,12.51
73,8.55
74,5.63
75,7.21
76,8.17
77,8.00
78,12.13
79,12.32
80,13.69
81,15.52
82,17.43
83,14.16
84,12.12
85,9.20
86,7.65
87,6.19
88,10.72
89,9.17
90,12.49
91,13.27
92,16.76
93,13.95
94,15.48
95,13.37
96,10.47
97,8.28
98,7.89
99,5.25
100,6.02
101,9.03
102,10.53
103,12.41
104,14.60
105,16.26
106,15.33
107,14.05
108,12.17
109,8.75
110,8.07
111,6.64
112,6.27
113,10.37
114,12.12
115,13.01
116,14.52
117,15.67
118,15.27
119,14.56
120,12.11
